,adjectives/ adverbs expressing possibility,collaborative finishes,noun & verb collocation in proper form,question-based responses,tense choice to indicate interactive aims,formulaic responses,backchannels,impersonal subject + non-factive verb + NP,negotiation of meaning,subordinate clauses,reference word,feedback in the next turn,routinized resources,code-switching for communicative purposes,topic extension with the same content,overall tone choice: very formal,overall tone choice: quite formal and some expressions are not that formal,topic extension with clear new context,"overall tone choice: relatively not formal, most expressions are quite informal",overall tone choice: very informal,topic extension under the previous direction,repeat and no topic extension,no topic extension and stop the topic at this point,"overall tone choice: quite informal, but some expressions are still formal",label,P-V,Q-R,U-Y,S,T,W,X,Z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0-0,0-0,0-0,0,0,0,0,Neutral
10,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0-0,0-0,0-0,0,0,0,0,Neutral
20,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formal,0-0,0-0,0-0,0,0,0,0,Formal
30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0-0,0-0,0-0,0,0,0,0,Neutral
40,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,2-0,0-0,0-0,0,0,0,0,Neutral
50,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0-0,1-0,0-0,0,0,0,0,Neutral
60,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Formal,0-0,0-0,0-0,0,0,0,0,Formal
70,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Informal,0-0,0-0,0-0,0,0,0,0,Informal
80,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutral,0-0,0-0,0-0,0,0,0,0,Neutral
90,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Informal,0-0,0-0,0-0,0,0,0,0,Informal
100,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Informal,0-0,0-0,0-0,0,0,0,0,Informal
