,0-0,0-1,1-0,2-0,0-2
adjectives/ adverbs expressing possibility,-0.06734491165975545,-0.3707606922545197,0.9081620933608603,-0.24821027239682783,-0.2218462170497566
collaborative finishes,-0.493706994102378,0.06439261404164856,-0.09339950739641836,-0.153429718629552,0.6761436060866995
noun & verb collocation in proper form,0.16746590524085975,-0.5718682926534198,0.3776344737877802,0.022611802095653614,0.0041561115291283935
question-based responses,0.12984238069950535,-0.3490121667969284,0.7644832884177162,-0.2193573918383846,-0.3259561104819069
tense choice to indicate interactive aims,-0.07525717523538498,0.5957289904806408,-0.8110415132756064,0.17198667509966797,0.1185830229306835
formulaic responses,0.029412055632973274,0.28387168656052325,-0.47910722757461377,-0.22009617707382748,0.3859196624549451
backchannels,0.6506616262217907,-0.3194675122762893,-0.07545181142302801,0.25113122259051035,-0.506873525112984
impersonal subject + non-factive verb + NP,0.0,0.0,0.0,0.0,0.0
negotiation of meaning,0.3029706869519262,-0.3397524954777897,0.0027870109011364154,-0.28767943334086554,0.32167423096559355
subordinate clauses,0.05636390145521527,0.14594457072348974,-0.12156074721935499,-0.34898732197104426,0.2682395970116947
reference word,0.31678671078161447,-0.229544405298595,0.3394454833705545,0.016876467169936637,-0.4435642560234977
feedback in the next turn,0.026744503529221707,0.04556630576017407,0.4577013564073848,-0.2611122908669059,-0.2688998748298743
routinized resources,-0.09922137422155312,-0.2922134036435987,-0.23803436231059302,0.6985807351685335,-0.06911159499278872
code-switching for communicative purposes,0.23714775899047416,-0.07813843719777673,-0.0908684634692352,-0.05355206769158421,-0.014588790631877962
intercept,1.3737487504889991,1.5048469867909233,-2.0925450265868015,-0.9370546029180208,0.15100389222493402
