,0,1,2
adjectives/ adverbs expressing possibility,-0.2652051907444597,0.49551337042066607,-0.23030817967620673
collaborative finishes,0.08593183507453425,-0.02382166708570527,-0.06211016798882852
noun & verb collocation in proper form,0.12447998625834761,0.24344272086843388,-0.36792270712678
question-based responses,0.23716316590867717,-0.14526477730762755,-0.09189838860105035
tense choice to indicate interactive aims,0.037953321233707905,-0.29578011797399195,0.25782679674028464
formulaic responses,0.7685289834484034,-0.7004666861198799,-0.06806229732852383
backchannels,0.05085654278128051,0.19610092750993915,-0.246957470291218
impersonal subject + non-factive verb + NP,0.0,0.0,0.0
negotiation of meaning,0.5277398602693006,-0.4203110722230795,-0.10742878804622188
subordinate clauses,0.30241413525905164,-0.07890753758126544,-0.22350659767778513
reference word,0.034823360614407176,-0.2527867352816817,0.2179633746672792
feedback in the next turn,0.7751810650984756,-0.7175621799724222,-0.05761888512605196
routinized resources,0.06404934353695461,-0.00035998830050447845,-0.06368935523645071
code-switching for communicative purposes,-0.3415664350903638,0.372867140698565,-0.031300705608201154
intercept,1.5726927740528347,1.200371472709428,-2.773064246762271
