,0,1,2
reference word,0.16976008778078472,-0.29651233437997865,0.12675224659919485
routinized resources,0.28644113493235296,-0.19152350684758462,-0.0949176280847689
backchannels,0.4382056774437205,-0.18503548812670903,-0.25317018931700813
feedback in the next turn,0.24593891626863695,-0.16516978728898585,-0.08076912897965138
code-switching for communicative purposes,0.08394185894410727,-0.05007540321092689,-0.033866455733180985
subordinate clauses,0.6245089797514927,-0.4673041888303626,-0.15720479092113032
noun & verb collocation in proper form,-0.05221985761751207,0.17642878789095118,-0.12420893027344097
collaborative finishes,0.1104358325956696,-0.07471148303908294,-0.03572434955658662
question-based responses,-0.08926472381962113,0.258574744462789,-0.16931002064316988
formulaic responses,0.10005829585446166,0.10660259241200758,-0.20666088826646953
impersonal subject + non-factive verb + NP,0.004116493850355076,-0.0025315142294819654,-0.001584979620873257
negotiation of meaning,0.711513023217823,-0.5575413047854739,-0.15397171843234922
adjectives/ adverbs expressing possibility,0.3413241874086201,-0.19514227610379878,-0.1461819113048211
tense choice to indicate interactive aims,0.05319213113643465,0.30578776530366936,-0.35897989644010425
intercept,1.3183775224251233,0.1330645867901116,-1.4514421092152128
