,Informal,Neutral,Formal
reference word,-0.1314894235597343,0.1850867663637882,-0.05359734280405238
routinized resources,0.30811551891563543,-0.1836102708052559,-0.12450524811037987
backchannels,2.2902671943501733,-1.045940228241194,-1.244326966108979
feedback in the next turn,0.49482360678081844,-0.3373498169637156,-0.15747378981710283
code-switching for communicative purposes,0.8020364414394258,-0.7573264033919996,-0.04471003804742518
subordinate clauses,0.07614385990416729,-1.7140048601347275,1.6378610002305598
noun & verb collocation in proper form,-0.1903023852018358,0.214871206233854,-0.02456882103201876
collaborative finishes,0.597061454286897,-0.4790414047593105,-0.11802004952758682
question-based responses,0.2554459960426001,-0.27622999132047776,0.020783995277877408
formulaic responses,0.09744307799298642,-0.14265811710974924,0.04521503911676307
impersonal subject + non-factive verb + NP,0.07779088036662621,-0.06326469686373147,-0.014526183502894719
negotiation of meaning,-0.32548183263040087,0.11510998650821976,0.21037184612218124
adjectives/ adverbs expressing possibility,-0.32199070917350875,0.10105092160735904,0.22093978756614976
tense choice to indicate interactive aims,0.09474627455176828,-0.31544639632335203,0.22070012177158405
intercept,0.11184102552957333,0.7902089060846845,-0.9020499316142704
