,no topic extension and stop the topic at this point
impersonal subject + non-factive verb + NP,0.0
code-switching for communicative purposes,0.0037479712885767087
feedback in the next turn,0.019151049841641916
routinized resources,0.03494560270143867
subordinate clauses,0.03966145625435301
backchannels,0.04037717764402688
negotiation of meaning,0.04279912343799963
question-based responses,0.05523560858713126
tense choice to indicate interactive aims,0.05841385988809729
adjectives/ adverbs expressing possibility,0.07790710927679415
formulaic responses,0.10633299716147468
collaborative finishes,0.10736833306327379
noun & verb collocation in proper form,0.17511152989291728
reference word,0.23894818096227463
