,topic extension under the previous direction
impersonal subject + non-factive verb + NP,0.0
code-switching for communicative purposes,0.0006369220676647715
feedback in the next turn,0.00904679957015444
collaborative finishes,0.014240438386155602
routinized resources,0.015261906380969897
backchannels,0.03843760340311017
negotiation of meaning,0.04448513716935446
question-based responses,0.07177429621163124
noun & verb collocation in proper form,0.07593118508173266
formulaic responses,0.09640344610391452
subordinate clauses,0.1233258215951263
adjectives/ adverbs expressing possibility,0.149490493265075
tense choice to indicate interactive aims,0.1794295028302696
reference word,0.18153644793484147
