,topic extension with the same content
impersonal subject + non-factive verb + NP,0.0
adjectives/ adverbs expressing possibility,0.013658964168192242
routinized resources,0.029496060905996567
subordinate clauses,0.031248399701076228
question-based responses,0.042884569066354544
collaborative finishes,0.04592306179791096
backchannels,0.050975280146659384
negotiation of meaning,0.06325947934585818
tense choice to indicate interactive aims,0.07867984873962887
feedback in the next turn,0.08400563172020276
formulaic responses,0.1022411224675015
code-switching for communicative purposes,0.10949350584497183
reference word,0.1366054943541098
noun & verb collocation in proper form,0.2115285817415373
