,all_sum
impersonal subject + non-factive verb + NP,0.0006251295012894691
code-switching for communicative purposes,0.0023281951020038293
feedback in the next turn,0.01631131313498702
collaborative finishes,0.02214706539606919
routinized resources,0.033229237734779225
question-based responses,0.04724820802811489
subordinate clauses,0.04775493995701954
formulaic responses,0.054200372586749285
negotiation of meaning,0.06168741734100418
backchannels,0.08774457006489528
noun & verb collocation in proper form,0.1076063792679732
tense choice to indicate interactive aims,0.13310761066180482
adjectives/ adverbs expressing possibility,0.15575838478550955
reference word,0.23025117643780046
