,choice_sum
code-switching for communicative purposes,0.0019277058454655732
impersonal subject + non-factive verb + NP,0.0031374530113095524
feedback in the next turn,0.015702021460554626
collaborative finishes,0.04994916093883993
subordinate clauses,0.04999226090131563
formulaic responses,0.05112451100543649
backchannels,0.05179630868309078
routinized resources,0.056532784303783064
negotiation of meaning,0.060132657361983435
question-based responses,0.06273465300585074
adjectives/ adverbs expressing possibility,0.08103335308910915
tense choice to indicate interactive aims,0.1103773883305602
noun & verb collocation in proper form,0.13325365916309687
reference word,0.27230608289960395
